2021-12-14 00:12:419 INFO  AccountPage :45 - verify logout tab and click on logout page :[[ChromeDriver: chrome on WINDOWS (f0301c536c7501415aa8d5fb341444c6)] -> xpath: //span[@class='fontBig ng-binding']]
2021-12-14 00:12:218 INFO  ManageDriver :29 - Launching Chrome Browser
2021-12-14 00:12:29 INFO  AccountPage :45 - click on bank manager login :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-14 00:12:97 INFO  AccountPage :26 - click on add customer tab :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@ng-class='btnClass1']]
2021-12-14 00:12:192 INFO  AccountPage :42 - fill first name :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //input[@placeholder='First Name']]
2021-12-14 00:12:283 INFO  AccountPage :47 - fill last name :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //input[@placeholder='Last Name']]
2021-12-14 00:12:375 INFO  AccountPage :52 - fill post code :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //input[@placeholder='Post Code']]
2021-12-14 00:12:453 INFO  AccountPage :58 - add customer button :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:465 INFO  AccountPage :63 - verify pop up window and click :
2021-12-14 00:12:545 INFO  AccountPage :42 - clicking on open account :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@ng-click='openAccount()']]
2021-12-14 00:12:14 INFO  AccountPage :47 - select customer search :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //select[@id='userSelect']]
2021-12-14 00:12:218 INFO  AccountPage :53 - select currency :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //select[@id='currency']]
2021-12-14 00:12:310 INFO  AccountPage :59 - clicking on process button :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@type='submit']]
2021-12-14 00:12:323 INFO  AccountPage :64 - verify pop up window and text :
2021-12-14 00:12:427 INFO  AccountPage :34 - click on home button :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@class='btn home']]
2021-12-14 00:12:517 INFO  AccountPage :40 - click on costomer login : [[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@ng-click='customer()']]
2021-12-14 00:12:988 INFO  AccountPage :33 - search customer from drop down :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //select[@id='userSelect']]
2021-12-14 00:12:76 INFO  AccountPage :38 - click on login button :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:443 INFO  AccountPage :52 - click on deposit :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[normalize-space()='Deposit']]
2021-12-14 00:12:831 INFO  AccountPage :57 - enter amount 100 :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //input[@placeholder='amount']]
2021-12-14 00:12:905 INFO  AccountPage :61 - click on deposit button :[[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //button[@type='submit']]
2021-12-14 00:12:940 INFO  AccountPage :65 - verify deposit successfully : [[ChromeDriver: chrome on WINDOWS (ee6d61c4cd41070062a3f0106798f668)] -> xpath: //span[@class='error ng-binding']]
2021-12-14 00:12:773 INFO  ManageDriver :29 - Launching Chrome Browser
2021-12-14 00:12:672 INFO  AccountPage :45 - click on bank manager login :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-14 00:12:754 INFO  AccountPage :26 - click on add customer tab :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@ng-class='btnClass1']]
2021-12-14 00:12:858 INFO  AccountPage :42 - fill first name :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //input[@placeholder='First Name']]
2021-12-14 00:12:940 INFO  AccountPage :47 - fill last name :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //input[@placeholder='Last Name']]
2021-12-14 00:12:26 INFO  AccountPage :52 - fill post code :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //input[@placeholder='Post Code']]
2021-12-14 00:12:106 INFO  AccountPage :58 - add customer button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:128 INFO  AccountPage :63 - verify pop up window and click :
2021-12-14 00:12:222 INFO  AccountPage :42 - clicking on open account :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@ng-click='openAccount()']]
2021-12-14 00:12:693 INFO  AccountPage :47 - select customer search :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //select[@id='userSelect']]
2021-12-14 00:12:886 INFO  AccountPage :53 - select currency :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //select[@id='currency']]
2021-12-14 00:12:966 INFO  AccountPage :59 - clicking on process button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@type='submit']]
2021-12-14 00:12:974 INFO  AccountPage :64 - verify pop up window and text :
2021-12-14 00:12:92 INFO  AccountPage :34 - click on home button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@class='btn home']]
2021-12-14 00:12:175 INFO  AccountPage :40 - click on costomer login : [[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@ng-click='customer()']]
2021-12-14 00:12:623 INFO  AccountPage :33 - search customer from drop down :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //select[@id='userSelect']]
2021-12-14 00:12:708 INFO  AccountPage :38 - click on login button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:42 INFO  AccountPage :52 - click on deposit :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[normalize-space()='Deposit']]
2021-12-14 00:12:441 INFO  AccountPage :57 - enter amount 100 :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //input[@placeholder='amount']]
2021-12-14 00:12:665 INFO  AccountPage :61 - click on deposit button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@type='submit']]
2021-12-14 00:12:695 INFO  AccountPage :65 - verify deposit successfully : [[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //span[@class='error ng-binding']]
2021-12-14 00:12:727 INFO  AccountPage :34 - click on home button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@class='btn home']]
2021-12-14 00:12:787 INFO  AccountPage :40 - click on costomer login : [[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@ng-click='customer()']]
2021-12-14 00:12:957 INFO  AccountPage :47 - select customer search :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //select[@id='userSelect']]
2021-12-14 00:12:22 INFO  AccountPage :38 - click on login button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:95 INFO  AccountPage :72 - click on withdrawl :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[normalize-space()='Withdrawl']]
2021-12-14 00:12:484 INFO  AccountPage :76 - enter withdrawl amount 50 :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //input[@placeholder='amount']]
2021-12-14 00:12:545 INFO  AccountPage :82 - click on withdraw button :[[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //button[normalize-space()='Withdraw']]
2021-12-14 00:12:576 INFO  AccountPage :65 - verify deposit successfully : [[ChromeDriver: chrome on WINDOWS (a13f7b8436b4ee97cad850508cb16f26)] -> xpath: //span[@class='error ng-binding']]
